region,date,strat,type,median,mean,sd,lower_90,lower_50,lower_20,upper_20,upper_50,upper_90,id
Barnsley,2021-01-02,NA,forecast,104,131,103,33,68,88,122,161,314,E08000016
Barnsley,2021-01-03,NA,forecast,114,148,129,34,71,95,134,184,373,E08000016
Bath and North East Somerset,2020-12-21,NA,forecast,45,48,20,22,34,41,50,59,85,E06000022
Bath and North East Somerset,2020-12-22,NA,forecast,44,47,21,20,33,39,49,58,87,E06000022
Bath and North East Somerset,2020-12-23,NA,forecast,51,56,26,23,37,46,57,69,104,E06000022
Bath and North East Somerset,2020-12-24,NA,forecast,47,52,28,20,34,41,53,64,102,E06000022
Bath and North East Somerset,2020-12-25,NA,forecast,57,67,43,23,40,50,65,83,138,E06000022
Bath and North East Somerset,2020-12-26,NA,forecast,43,51,39,16,29,37,49,62,111,E06000022
Bath and North East Somerset,2020-12-27,NA,forecast,45,56,55,16,30,38,52,67,126,E06000022
Bath and North East Somerset,2020-12-28,NA,forecast,69,93,129,23,44,58,82,107,222,E06000022
Bath and North East Somerset,2020-12-29,NA,forecast,67,94,157,21,41,56,79,108,235,E06000022
Bath and North East Somerset,2020-12-30,NA,forecast,79,119,283,23,46,64,94,131,291,E06000022
Bath and North East Somerset,2020-12-31,NA,forecast,70,118,326,19,41,57,86,123,304,E06000022
Bath and North East Somerset,2021-01-01,NA,forecast,87,166,697,22,50,70,109,160,416,E06000022
Bath and North East Somerset,2021-01-02,NA,forecast,66,142,798,15,35,52,82,122,353,E06000022
Bath and North East Somerset,2021-01-03,NA,forecast,68,164,1026,15,36,53,87,133,393,E06000022
Bedford,2020-12-21,NA,forecast,204,210,56,131,171,190,218,242,310,E06000055
Bedford,2020-12-22,NA,forecast,208,217,65,128,172,193,224,252,332,E06000055
Bedford,2020-12-23,NA,forecast,216,227,76,127,174,198,234,267,363,E06000055
Bedford,2020-12-24,NA,forecast,200,213,81,107,157,183,219,255,361,E06000055
Bedford,2020-12-25,NA,forecast,232,253,111,118,176,210,258,307,452,E06000055
Bedford,2020-12-26,NA,forecast,187,208,107,88,139,167,209,252,398,E06000055
Bedford,2020-12-27,NA,forecast,210,240,140,93,149,186,239,294,485,E06000055
Bedford,2020-12-28,NA,forecast,337,399,270,131,231,291,388,492,858,E06000055
Bedford,2020-12-29,NA,forecast,340,423,335,122,222,290,403,526,930,E06000055
Bedford,2020-12-30,NA,forecast,351,452,403,115,221,298,417,559,1066,E06000055
Bedford,2020-12-31,NA,forecast,326,436,445,95,197,272,388,535,1085,E06000055
Bedford,2021-01-01,NA,forecast,380,532,630,100,223,316,455,641,1372,E06000055
Bedford,2021-01-02,NA,forecast,300,451,631,75,168,246,371,535,1217,E06000055
Bedford,2021-01-03,NA,forecast,339,544,927,75,186,272,421,621,1495,E06000055
Bexley,2020-12-21,NA,forecast,531,547,125,370,461,503,562,619,771,E09000004
Bexley,2020-12-22,NA,forecast,490,507,130,326,417,461,520,576,741,E09000004
Bexley,2020-12-23,NA,forecast,554,577,166,356,461,514,593,668,874,E09000004
Bexley,2020-12-24,NA,forecast,593,628,211,357,482,546,644,735,1005,E09000004
Bexley,2020-12-25,NA,forecast,547,587,223,306,432,501,603,698,1001,E09000004
Bexley,2020-12-26,NA,forecast,398,432,189,206,304,362,440,521,779,E09000004
Bexley,2020-12-27,NA,forecast,381,424,210,184,282,338,428,515,807,E09000004
Bexley,2020-12-28,NA,forecast,728,825,472,318,503,633,828,1019,1644,E09000004
Bexley,2020-12-29,NA,forecast,649,770,511,268,441,564,752,959,1644,E09000004
Bexley,2020-12-30,NA,forecast,742,894,642,270,487,630,862,1109,2031,E09000004
Bexley,2020-12-31,NA,forecast,780,984,829,261,491,656,930,1222,2338,E09000004
Bexley,2021-01-01,NA,forecast,721,937,908,222,441,605,866,1161,2291,E09000004
Bexley,2021-01-02,NA,forecast,522,706,818,149,305,431,633,870,1799,E09000004
Bexley,2021-01-03,NA,forecast,502,714,974,129,281,400,624,885,1876,E09000004
Birmingham,2020-12-21,NA,forecast,697,702,87,574,641,675,717,757,856,E08000025
Birmingham,2020-12-22,NA,forecast,734,741,109,574,665,706,760,809,930,E08000025
Birmingham,2020-12-23,NA,forecast,761,775,137,578,681,727,795,855,1017,E08000025
Birmingham,2020-12-24,NA,forecast,743,765,170,534,649,704,781,853,1065,E08000025
Birmingham,2020-12-25,NA,forecast,769,801,212,528,656,726,818,904,1189,E08000025
Birmingham,2020-12-26,NA,forecast,633,672,222,407,527,591,680,766,1075,E08000025
Birmingham,2020-12-27,NA,forecast,648,701,272,396,526,600,700,803,1186,E08000025
Birmingham,2020-12-28,NA,forecast,1108,1236,585,634,877,1012,1216,1439,2252,E08000025
Birmingham,2020-12-29,NA,forecast,1177,1345,739,629,902,1061,1301,1574,2633,E08000025
Birmingham,2020-12-30,NA,forecast,1214,1448,939,612,908,1095,1368,1702,3017,E08000025
Birmingham,2020-12-31,NA,forecast,1199,1467,1108,560,863,1059,1350,1706,3248,E08000025
Birmingham,2021-01-01,NA,forecast,1240,1577,1385,545,868,1079,1425,1818,3662,E08000025
Birmingham,2021-01-02,NA,forecast,1018,1357,1403,428,694,884,1184,1557,3292,E08000025
Birmingham,2021-01-03,NA,forecast,1044,1459,1762,405,688,902,1222,1643,3702,E08000025
Blackburn with Darwen,2020-12-21,NA,forecast,87,89,20,59,75,82,92,101,126,E06000008
Blackburn with Darwen,2020-12-22,NA,forecast,76,78,19,50,65,72,81,90,113,E06000008
Blackburn with Darwen,2020-12-23,NA,forecast,78,81,22,50,66,73,84,93,119,E06000008
Blackburn with Darwen,2020-12-24,NA,forecast,74,77,23,46,61,69,79,90,120,E06000008
Blackburn with Darwen,2020-12-25,NA,forecast,80,84,28,48,65,74,86,98,136,E06000008
Blackburn with Darwen,2020-12-26,NA,forecast,63,67,25,36,50,58,68,79,112,E06000008
Blackburn with Darwen,2020-12-27,NA,forecast,67,73,31,36,53,61,74,85,126,E06000008
Blackburn with Darwen,2020-12-28,NA,forecast,114,127,62,61,88,103,125,149,234,E06000008
Blackburn with Darwen,2020-12-29,NA,forecast,101,114,63,52,76,90,112,134,219,E06000008
Blackburn with Darwen,2020-12-30,NA,forecast,104,120,72,50,77,94,116,141,237,E06000008
Blackburn with Darwen,2020-12-31,NA,forecast,98,117,85,45,72,87,112,136,240,E06000008
Blackburn with Darwen,2021-01-01,NA,forecast,107,130,105,47,76,94,121,151,278,E06000008
Blackburn with Darwen,2021-01-02,NA,forecast,83,105,98,35,59,73,96,123,233,E06000008
Blackburn with Darwen,2021-01-03,NA,forecast,89,116,123,36,60,77,104,134,267,E06000008
Blackpool,2020-12-21,NA,forecast,36,37,11,22,30,34,39,44,56,E06000009
Blackpool,2020-12-22,NA,forecast,37,39,12,22,30,35,40,45,59,E06000009
Blackpool,2020-12-23,NA,forecast,33,35,12,18,26,31,36,42,56,E06000009
Blackpool,2020-12-24,NA,forecast,32,34,13,16,25,29,35,40,56,E06000009
Blackpool,2020-12-25,NA,forecast,33,35,16,16,25,30,36,42,61,E06000009
Blackpool,2020-12-26,NA,forecast,24,27,15,11,18,22,27,33,50,E06000009
Blackpool,2020-12-27,NA,forecast,21,24,16,9,15,18,23,29,46,E06000009
Blackpool,2020-12-28,NA,forecast,35,41,44,15,25,31,39,49,84,E06000009
Blackpool,2020-12-29,NA,forecast,36,44,52,14,25,31,41,51,92,E06000009
Blackpool,2020-12-30,NA,forecast,32,42,100,12,22,28,37,47,90,E06000009
Blackpool,2020-12-31,NA,forecast,30,41,129,10,20,26,35,46,91,E06000009
Blackpool,2021-01-01,NA,forecast,32,45,165,10,20,26,37,49,97,E06000009
Blackpool,2021-01-02,NA,forecast,24,37,176,7,15,20,28,38,83,E06000009
Blackpool,2021-01-03,NA,forecast,20,35,261,5,12,16,24,33,78,E06000009
Blaenau Gwent,2020-12-21,NA,forecast,101,119,79,33,65,86,116,150,268,W06000019
Blaenau Gwent,2020-12-22,NA,forecast,88,106,77,26,56,74,104,135,245,W06000019
Blaenau Gwent,2020-12-23,NA,forecast,136,171,140,41,86,115,161,209,413,W06000019
Blaenau Gwent,2020-12-24,NA,forecast,193,245,208,56,122,162,228,302,601,W06000019
Blaenau Gwent,2020-12-25,NA,forecast,150,209,244,40,90,123,181,253,532,W06000019
Blaenau Gwent,2020-12-26,NA,forecast,194,298,498,53,115,159,237,334,816,W06000019
Blaenau Gwent,2020-12-27,NA,forecast,169,284,815,43,97,136,208,300,729,W06000019
Blaenau Gwent,2020-12-28,NA,forecast,169,320,1034,39,95,134,212,320,869,W06000019
Blaenau Gwent,2020-12-29,NA,forecast,146,339,1942,30,77,116,189,290,940,W06000019
Blaenau Gwent,2020-12-30,NA,forecast,228,597,5521,45,114,175,293,446,1494,W06000019
Blaenau Gwent,2020-12-31,NA,forecast,321,1121,13093,61,159,249,419,681,2538,W06000019
Blaenau Gwent,2021-01-01,NA,forecast,247,1830,56569,44,120,188,334,561,2408,W06000019
Blaenau Gwent,2021-01-02,NA,forecast,318,1945,29841,51,148,233,427,770,3500,W06000019
Blaenau Gwent,2021-01-03,NA,forecast,271,4985,214557,43,129,205,387,678,3607,W06000019
Bolton,2020-12-21,NA,forecast,84,85,15,61,74,80,88,94,111,E08000001
Bolton,2020-12-22,NA,forecast,77,78,16,55,68,73,81,88,106,E08000001
Bolton,2020-12-23,NA,forecast,77,78,17,52,66,73,81,89,109,E08000001
Bolton,2020-12-24,NA,forecast,72,74,18,48,61,68,77,84,105,E08000001
Bolton,2020-12-25,NA,forecast,82,84,22,52,69,77,87,97,124,E08000001
Bolton,2020-12-26,NA,forecast,62,65,19,37,51,58,67,75,100,E08000001
Bolton,2020-12-27,NA,forecast,65,68,23,37,52,60,70,79,108,E08000001
Bolton,2020-12-28,NA,forecast,102,108,38,58,81,94,111,127,175,E08000001
Bolton,2020-12-29,NA,forecast,94,101,40,50,74,86,103,121,169,E08000001
Bolton,2020-12-30,NA,forecast,95,103,45,48,72,86,105,123,184,E08000001
Bolton,2020-12-31,NA,forecast,88,97,46,43,67,79,98,118,180,E08000001
Bolton,2021-01-01,NA,forecast,101,113,58,45,75,90,114,137,214,E08000001
Bolton,2021-01-02,NA,forecast,77,87,49,33,55,68,87,106,175,E08000001
Bolton,2021-01-03,NA,forecast,80,92,57,33,56,70,91,113,193,E08000001
"Bournemouth, Christchurch and Poole",2020-12-21,NA,forecast,147,153,44,91,123,138,158,178,232,E06000058
"Bournemouth, Christchurch and Poole",2020-12-22,NA,forecast,138,144,46,80,112,127,148,169,226,E06000058
"Bournemouth, Christchurch and Poole",2020-12-23,NA,forecast,157,168,64,88,124,144,173,200,287,E06000058
"Bournemouth, Christchurch and Poole",2020-12-24,NA,forecast,149,163,71,77,114,134,166,196,297,E06000058
"Bournemouth, Christchurch and Poole",2020-12-25,NA,forecast,147,166,83,70,109,132,166,201,319,E06000058
"Bournemouth, Christchurch and Poole",2020-12-26,NA,forecast,111,130,78,47,79,97,127,161,270,E06000058
"Bournemouth, Christchurch and Poole",2020-12-27,NA,forecast,111,135,93,43,75,96,130,167,307,E06000058
"Bournemouth, Christchurch and Poole",2020-12-28,NA,forecast,198,257,215,69,127,170,236,314,620,E06000058
"Bournemouth, Christchurch and Poole",2020-12-29,NA,forecast,182,246,229,55,113,151,220,304,622,E06000058
"Bournemouth, Christchurch and Poole",2020-12-30,NA,forecast,207,303,342,57,123,171,253,362,824,E06000058
"Bournemouth, Christchurch and Poole",2020-12-31,NA,forecast,200,306,395,49,112,161,247,363,852,E06000058
"Bournemouth, Christchurch and Poole",2021-01-01,NA,forecast,193,327,501,43,103,153,245,371,973,E06000058
"Bournemouth, Christchurch and Poole",2021-01-02,NA,forecast,146,272,548,28,75,113,185,299,826,E06000058
"Bournemouth, Christchurch and Poole",2021-01-03,NA,forecast,146,298,671,25,72,113,192,307,918,E06000058
Bracknell Forest,2020-12-21,NA,forecast,104,110,39,57,84,96,114,131,183,E06000036
Bracknell Forest,2020-12-22,NA,forecast,102,108,42,53,79,93,111,130,186,E06000036
Bracknell Forest,2020-12-23,NA,forecast,121,129,53,61,92,109,134,155,228,E06000036
Bracknell Forest,2020-12-24,NA,forecast,109,120,55,54,83,99,122,146,219,E06000036
Bracknell Forest,2020-12-25,NA,forecast,107,121,62,51,78,96,122,148,232,E06000036
Bracknell Forest,2020-12-26,NA,forecast,94,107,64,39,66,82,107,133,218,E06000036
Bracknell Forest,2020-12-27,NA,forecast,103,120,76,40,71,89,118,150,250,E06000036
Bracknell Forest,2020-12-28,NA,forecast,139,171,137,51,91,120,163,214,379,E06000036
Bracknell Forest,2020-12-29,NA,forecast,132,166,143,45,84,110,157,206,394,E06000036
Bracknell Forest,2020-12-30,NA,forecast,162,208,215,48,98,133,193,257,505,E06000036
Bracknell Forest,2020-12-31,NA,forecast,142,197,241,40,84,119,175,241,495,E06000036
Bracknell Forest,2021-01-01,NA,forecast,140,202,295,36,82,113,174,244,529,E06000036
Bracknell Forest,2021-01-02,NA,forecast,122,186,291,29,69,98,152,221,494,E06000036
Bracknell Forest,2021-01-03,NA,forecast,133,218,475,28,71,104,167,244,591,E06000036
Bradford,2020-12-21,NA,forecast,144,146,24,110,129,139,151,160,188,E08000032
Bradford,2020-12-22,NA,forecast,134,136,24,99,118,128,140,151,178,E08000032
Bradford,2020-12-23,NA,forecast,124,126,25,88,108,118,131,142,169,E08000032
Bradford,2020-12-24,NA,forecast,130,132,29,88,111,122,137,149,184,E08000032
Bradford,2020-12-25,NA,forecast,118,121,31,78,99,111,126,139,178,E08000032
Bradford,2020-12-26,NA,forecast,88,92,26,57,74,82,95,107,138,E08000032
Bradford,2020-12-27,NA,forecast,89,93,30,52,73,83,97,110,148,E08000032
Bradford,2020-12-28,NA,forecast,133,141,50,76,105,122,145,168,231,E08000032
Bradford,2020-12-29,NA,forecast,122,131,51,68,96,111,135,157,227,E08000032
Bradford,2020-12-30,NA,forecast,112,123,53,58,86,102,124,150,221,E08000032
Bradford,2020-12-31,NA,forecast,119,131,62,58,88,106,131,157,248,E08000032
Bradford,2021-01-01,NA,forecast,108,121,63,50,78,96,121,148,239,E08000032
Bradford,2021-01-02,NA,forecast,81,93,54,36,58,71,92,115,190,E08000032
Bradford,2021-01-03,NA,forecast,82,95,59,33,56,71,93,116,203,E08000032
Brent,2020-12-21,NA,forecast,329,336,68,237,289,313,345,376,456,E09000005
Brent,2020-12-22,NA,forecast,319,328,76,221,275,301,338,370,465,E09000005
Brent,2020-12-23,NA,forecast,326,338,90,215,273,305,348,388,508,E09000005
Brent,2020-12-24,NA,forecast,326,344,107,204,269,303,353,399,545,E09000005
Brent,2020-12-25,NA,forecast,294,312,111,172,235,270,318,365,518,E09000005
Brent,2020-12-26,NA,forecast,216,236,99,117,169,196,239,281,419,E09000005
Brent,2020-12-27,NA,forecast,191,211,100,95,144,172,213,253,403,E09000005
Brent,2020-12-28,NA,forecast,322,370,202,146,232,287,364,450,742,E09000005
Brent,2020-12-29,NA,forecast,308,360,219,127,213,267,350,436,788,E09000005
Brent,2020-12-30,NA,forecast,307,374,262,117,208,263,353,464,861,E09000005
Brent,2020-12-31,NA,forecast,305,387,304,108,200,260,358,473,916,E09000005
Brent,2021-01-01,NA,forecast,273,357,304,88,172,229,325,437,913,E09000005
Brent,2021-01-02,NA,forecast,200,275,266,61,121,165,242,330,740,E09000005
Brent,2021-01-03,NA,forecast,172,251,262,49,103,143,211,303,701,E09000005
Bridgend,2020-12-21,NA,forecast,305,337,170,127,219,270,342,423,656,W06000013
Bridgend,2020-12-22,NA,forecast,288,322,173,115,199,253,327,404,642,W06000013
Bridgend,2020-12-23,NA,forecast,355,405,237,140,242,308,406,504,855,W06000013
Bridgend,2020-12-24,NA,forecast,547,631,377,214,373,476,631,796,1317,W06000013
Bridgend,2020-12-25,NA,forecast,498,593,398,181,331,425,574,748,1305,W06000013
Bridgend,2020-12-26,NA,forecast,586,702,489,198,383,500,677,881,1600,W06000013
Bridgend,2020-12-27,NA,forecast,542,678,536,171,339,449,651,856,1615,W06000013
Bridgend,2020-12-28,NA,forecast,576,762,706,165,357,481,688,951,1920,W06000013
Bridgend,2020-12-29,NA,forecast,547,744,758,142,316,448,665,914,1903,W06000013
Bridgend,2020-12-30,NA,forecast,664,950,1017,178,379,536,825,1157,2636,W06000013
Bridgend,2020-12-31,NA,forecast,1026,1542,1828,245,589,825,1295,1859,4238,W06000013
Bridgend,2021-01-01,NA,forecast,950,1495,2585,203,511,749,1181,1706,4173,W06000013
Bridgend,2021-01-02,NA,forecast,1104,1820,2722,222,568,860,1400,2090,5493,W06000013
Bridgend,2021-01-03,NA,forecast,1044,1842,3637,189,530,806,1351,1990,5684,W06000013
Brighton and Hove,2020-12-21,NA,forecast,154,166,68,78,117,140,172,200,292,E06000043
Brighton and Hove,2020-12-22,NA,forecast,161,177,80,80,120,145,179,214,326,E06000043
Brighton and Hove,2020-12-23,NA,forecast,174,197,101,80,127,153,198,245,389,E06000043
Brighton and Hove,2020-12-24,NA,forecast,148,169,98,60,103,129,167,209,356,E06000043
Brighton and Hove,2020-12-25,NA,forecast,165,199,132,64,113,142,193,249,442,E06000043
Brighton and Hove,2020-12-26,NA,forecast,139,175,134,47,91,118,164,219,416,E06000043
Brighton and Hove,2020-12-27,NA,forecast,142,185,155,42,85,119,171,232,469,E06000043
Brighton and Hove,2020-12-28,NA,forecast,232,330,353,61,134,191,287,413,897,E06000043
Brighton and Hove,2020-12-29,NA,forecast,238,368,533,58,133,191,294,431,1024,E06000043
Brighton and Hove,2020-12-30,NA,forecast,262,432,706,54,139,208,333,497,1281,E06000043
Brighton and Hove,2020-12-31,NA,forecast,216,390,923,41,110,166,275,429,1144,E06000043
Brighton and Hove,2021-01-01,NA,forecast,240,493,1457,41,118,184,324,529,1529,E06000043
Brighton and Hove,2021-01-02,NA,forecast,206,470,1529,30,92,153,280,467,1497,E06000043
Brighton and Hove,2021-01-03,NA,forecast,209,545,2686,26,89,149,286,494,1681,E06000043
"Bristol, City of",2020-12-21,NA,forecast,125,130,36,81,105,117,133,150,196,E06000023
"Bristol, City of",2020-12-22,NA,forecast,124,130,40,77,102,115,133,151,205,E06000023
"Bristol, City of",2020-12-23,NA,forecast,128,137,51,73,101,117,139,161,231,E06000023
"Bristol, City of",2020-12-24,NA,forecast,119,132,62,64,91,108,132,156,243,E06000023
"Bristol, City of",2020-12-25,NA,forecast,111,129,79,55,83,99,126,154,256,E06000023
"Bristol, City of",2020-12-26,NA,forecast,91,111,94,41,65,80,103,127,242,E06000023
"Bristol, City of",2020-12-27,NA,forecast,77,101,124,32,53,66,89,116,233,E06000023
"Bristol, City of",2020-12-28,NA,forecast,118,170,272,46,79,101,139,185,414,E06000023
"Bristol, City of",2020-12-29,NA,forecast,115,187,569,39,73,97,137,193,468,E06000023
"Bristol, City of",2020-12-30,NA,forecast,115,217,986,37,72,96,142,204,553,E06000023
"Bristol, City of",2020-12-31,NA,forecast,108,239,1415,31,63,86,135,204,615,E06000023
"Bristol, City of",2021-01-01,NA,forecast,101,281,2817,27,56,80,128,201,641,E06000023
"Bristol, City of",2021-01-02,NA,forecast,81,300,3821,19,43,63,106,168,595,E06000023
"Bristol, City of",2021-01-03,NA,forecast,70,355,6656,15,35,53,92,153,614,E06000023
Bromley,2020-12-21,NA,forecast,558,572,139,375,474,525,590,651,820,E09000006
Bromley,2020-12-22,NA,forecast,549,568,149,359,461,514,584,649,844,E09000006
Bromley,2020-12-23,NA,forecast,607,636,192,380,502,564,659,740,991,E09000006
Bromley,2020-12-24,NA,forecast,537,565,188,310,433,498,581,666,905,E09000006
Bromley,2020-12-25,NA,forecast,623,662,251,338,486,568,678,783,1122,E09000006
Bromley,2020-12-26,NA,forecast,484,523,225,242,367,434,535,633,921,E09000006
Bromley,2020-12-27,NA,forecast,509,562,269,238,375,452,569,684,1069,E09000006
Bromley,2020-12-28,NA,forecast,872,975,526,362,614,761,988,1218,1944,E09000006
Bromley,2020-12-29,NA,forecast,852,984,599,326,584,742,976,1223,2079,E09000006
Bromley,2020-12-30,NA,forecast,944,1116,743,339,626,811,1096,1399,2455,E09000006
Bromley,2020-12-31,NA,forecast,832,1009,745,270,531,706,969,1276,2306,E09000006
Bromley,2021-01-01,NA,forecast,932,1193,963,274,591,795,1139,1516,2876,E09000006
Bromley,2021-01-02,NA,forecast,739,965,860,194,442,615,914,1225,2441,E09000006
Bromley,2021-01-03,NA,forecast,783,1053,1031,184,457,639,965,1327,2705,E09000006
Buckinghamshire,2020-12-21,NA,forecast,498,509,110,351,429,472,526,578,707,E10000002
Buckinghamshire,2020-12-22,NA,forecast,499,513,125,334,428,470,529,581,751,E10000002
Buckinghamshire,2020-12-23,NA,forecast,526,542,146,338,440,492,561,621,799,E10000002
Buckinghamshire,2020-12-24,NA,forecast,515,539,163,320,426,480,554,623,833,E10000002
Buckinghamshire,2020-12-25,NA,forecast,591,621,213,347,471,541,642,730,1013,E10000002
Buckinghamshire,2020-12-26,NA,forecast,431,460,176,239,340,393,470,546,778,E10000002
Buckinghamshire,2020-12-27,NA,forecast,485,521,220,249,372,441,531,625,916,E10000002
Buckinghamshire,2020-12-28,NA,forecast,799,881,446,376,590,719,886,1055,1678,E10000002
Buckinghamshire,2020-12-29,NA,forecast,783,890,515,356,572,699,881,1078,1765,E10000002
Buckinghamshire,2020-12-30,NA,forecast,831,963,621,350,585,731,948,1161,2005,E10000002
Buckinghamshire,2020-12-31,NA,forecast,812,957,663,318,560,709,925,1168,2058,E10000002
Buckinghamshire,2021-01-01,NA,forecast,938,1132,846,344,621,808,1087,1378,2626,E10000002
Buckinghamshire,2021-01-02,NA,forecast,686,854,802,225,436,575,805,1030,2057,E10000002
Buckinghamshire,2021-01-03,NA,forecast,749,988,1008,242,484,639,892,1194,2422,E10000002
Bury,2020-12-21,NA,forecast,92,94,19,67,81,88,97,105,128,E08000002
Bury,2020-12-22,NA,forecast,76,78,18,51,66,72,80,88,109,E08000002
Bury,2020-12-23,NA,forecast,73,75,20,48,61,68,78,86,110,E08000002
Bury,2020-12-24,NA,forecast,65,68,21,41,54,61,70,79,104,E08000002
Bury,2020-12-25,NA,forecast,67,72,25,41,55,62,73,82,115,E08000002
Bury,2020-12-26,NA,forecast,56,61,26,32,44,51,61,70,103,E08000002
Bury,2020-12-27,NA,forecast,55,62,32,30,43,50,60,71,112,E08000002
Bury,2020-12-28,NA,forecast,114,132,78,61,88,103,127,153,252,E08000002
Bury,2020-12-29,NA,forecast,94,114,83,48,71,84,106,131,235,E08000002
Bury,2020-12-30,NA,forecast,90,114,101,43,67,80,103,130,246,E08000002
Bury,2020-12-31,NA,forecast,81,107,118,37,58,71,94,121,240,E08000002
Bury,2021-01-01,NA,forecast,84,115,144,35,59,73,97,128,266,E08000002
Bury,2021-01-02,NA,forecast,69,101,151,27,48,60,81,109,249,E08000002
Bury,2021-01-03,NA,forecast,68,107,208,26,46,58,81,112,264,E08000002
Caerphilly,2020-12-21,NA,forecast,237,271,157,86,162,204,276,342,571,W06000018
Caerphilly,2020-12-22,NA,forecast,164,189,118,57,110,141,187,239,407,W06000018
Caerphilly,2020-12-23,NA,forecast,292,348,241,99,190,249,340,440,773,W06000018
Caerphilly,2020-12-24,NA,forecast,426,513,356,147,279,363,494,649,1128,W06000018
Caerphilly,2020-12-25,NA,forecast,379,474,382,118,239,319,443,587,1139,W06000018
Caerphilly,2020-12-26,NA,forecast,328,438,411,100,208,277,401,538,1110,W06000018
Caerphilly,2020-12-27,NA,forecast,342,467,504,98,209,284,415,554,1191,W06000018
Caerphilly,2020-12-28,NA,forecast,351,525,778,92,206,290,430,613,1407,W06000018
Caerphilly,2020-12-29,NA,forecast,237,379,638,56,134,191,297,434,1035,W06000018
Caerphilly,2020-12-30,NA,forecast,432,742,1602,97,234,340,548,796,2059,W06000018
Caerphilly,2020-12-31,NA,forecast,633,1126,2755,142,345,504,793,1152,3089,W06000018
Caerphilly,2021-01-01,NA,forecast,548,1083,2807,108,288,434,699,1086,3278,W06000018
Caerphilly,2021-01-02,NA,forecast,502,1094,3383,90,248,388,646,1008,3055,W06000018
